bought,"キツネの置物","伏見稲荷で2体セットで購入",
made,"紙粘土","2年間でローレル達4人の部屋を過ごした紙粘土",
made,"段ボールの剣","大 chotto crazy 2020の段ボール洞窟で作った段ボールの剣"
cant,"梱包材","PCがくるまれてた白いスポンジみたいなもの。銃みたいな形をしてる。"
free,"ペットボトル","渡嘉敷島から海水を入れて大阪に持って帰ってきて、蒸発して空になったのを見届けた。"
bought,"置き時計","岩のような固まりに長針、短針、秒針だけが付いてるだけの時計。針が曲がってしまって動かない。"
free,"とうもろこしの皮","大阪第一ビルの長野県協会で夏に1日限りで販売していたとうもろこしがとてもおいしく美しく、今は乾燥してかさかさな皮だけど、最初はみずみずしくて透明感があってとてもきれいだった。"
gift,"ポストカード／SammyStein","2021年のHappyNewYearカードで送ってくれた。岩の絵が描かれているところがフェルトみたいな素材になっててとてもきれい。",
gift,"ハンカチ／SammyStein","白くて柔らかいベルベッドみたいな生地で、絵の線が透けている。",
free,"大きな石","小さい石が集まった大きめの石（渡嘉敷島,2020夏）",
free,"お菓子の空箱","賞味期限（製造年月日？）の表示方法がとてもかっこいい。",
made,"ほうき","落ちていたほうきのような枝で作ったほうき（渡嘉敷島,2020夏）",
gift,"","",
gift,"","",
gift,"","",
