bought,"PC-Lenovo　IdeaPad5","シルバー（ヨドバシカメラマルチメディア梅田で購入/2021）",
bought,"視力回復メガネ","形とか素材を気に入ってリサイクルショップで購入",
bought,扇子,"紫・ちょうちょ（メルカリで購入）",
gift,"GAME BOY pocket","グレー　小学校の時に購入",
bought,"渡嘉敷の本","渡嘉敷の役所で購入",
bought,"知床の本","",
bought,"オカリナ","（amazon,2022）",
bought,"クリスタルチューナー","Dr.ハインリッヒのタロット占いに影響を受けて購入（amazon,2021）",
bought,"ポケットティッシュ","DOCOMO imodeのポケットティッシュ",
gift,"MD","高校の時に使ってて全部捨てたと思ったら出てきたMD1枚",
bought,"占い","誕生日占い（長岡天神,2022）ととても助かる無人自販機占い（櫻宮神社）",
made,"小物置き","",
free,"マッチ","北加賀屋のチロルのマッチ",
free,"ハンディお経","お経の書かれた手のひらサイズのプラスチック製お経本。ケース入り",
free,"中尾香織はんこ","小中学校で卒業の際にもらえるフルネームはんこ×３",
cant,"お弁当用スティックのケース","幼稚園の時からあるであろうほんわかした雰囲気のもの",
free,"電球","直径1cmくらいの光る丸",
cant,"中国製ハンドクリームのボトル","上海で購入。プッシュ式",
bought,"お経キーホルダー","お経が流れる手のひらサイズのキーホルダー",
bought,"新鑑真グッズ","上海から帰国の際に乗ったフェリー新鑑真号のタオルと紙コップ",
gift,"西田陽子法律事務所ボールペン","西天満でカフェをやってた時の常連さんがオープンした事務所のグッズ",
gift,"マグネットフック","渡嘉敷島で友達になった子からもらった",
made,"花瓶","小さな花瓶",
